지점명,월,노장해발고도,평균기온,최고기온,최저기온,일최다강수량,1시간최다강수량,10분최다강수량,합계 일조시간,일조율,월평균강수량,월별강수량편차,시도시군구
강릉,1,27.12,1.916666667,13.8,-9.95,19.91666667,0.0,0.0,172.9833333,56.405,37.21666667,105.0,강릉시
강릉,2,27.12,3.566666667,16.8,-7.45,20.9,0.0,0.0,170.3333333,55.975,32.0,76.3,강릉시
강릉,3,27.12,9.6,23.26666667,-1.2,30.86666667,0.0,0.0,185.4,49.98666667,70.73333333,113.2,강릉시
강릉,4,27.12,14.01666667,28.11666667,2.4,32.18333333,7.183333333,2.983333333,190.5166667,48.165,85.46666667,118.0,강릉시
강릉,5,27.12,19.18333333,33.2,7.7,38.7,11.28333333,3.483333333,200.8666667,45.91666667,86.21666667,158.4,강릉시
강릉,6,27.12,22.91666667,33.86666667,13.93333333,76.63333333,22.26666667,7.783333333,163.4333333,36.92833333,136.6166667,237.9,강릉시
강릉,7,27.12,25.91666667,35.6,17.68333333,71.6,23.2,10.96666667,136.6,30.395,211.1666667,271.2,강릉시
강릉,8,27.12,26.33333333,37.28333333,19.11666667,144.75,40.93333333,10.98333333,112.95,26.87166667,350.0666667,370.4,강릉시
강릉,9,27.12,21.33333333,30.75,13.26666667,103.35,23.25,6.9,125.6666667,33.675,259.8666667,502.2,강릉시
강릉,10,27.12,15.76666667,28.23333333,6.0,107.1166667,22.78333333,5.966666667,147.5166667,42.37833333,205.8,535.4,강릉시
강릉,11,27.12,10.91666667,24.78333333,-1.216666667,22.18333333,0.0,0.0,164.1666667,53.835,46.68333333,97.0,강릉시
강릉,12,27.12,3.416666667,16.13333333,-10.03333333,22.26666667,0.0,0.0,169.0666667,56.675,52.05,228.3,강릉시
강화,1,47.425,-2.616666667,9.7,-15.08333333,16.45,0.0,0.0,160.55,52.33833333,22.88333333,63.4,강화군
강화,2,47.425,-0.25,11.75,-12.1,11.21666667,0.0,0.0,161.5833333,53.08333333,17.93333333,42.3,강화군
강화,3,47.425,6.366666667,19.03333333,-5.233333333,20.91666667,0.0,0.0,180.0,48.52333333,43.85,96.0,강화군
강화,4,47.425,11.36666667,24.46666667,-0.166666667,32.76666667,6.316666667,1.95,186.9333333,47.27166667,64.45,103.1,강화군
강화,5,47.425,16.33333333,27.46666667,5.833333333,44.88333333,13.48333333,7.566666667,191.3166667,43.43666667,119.5833333,230.3,강화군
강화,6,47.425,20.81666667,29.96666667,12.5,72.43333333,16.45,6.416666667,150.1666667,33.94666667,168.3,440.8,강화군
강화,7,47.425,24.8,33.61666667,18.16666667,90.13333333,25.68333333,10.0,138.0666667,30.93,238.3333333,297.3,강화군
강화,8,47.425,25.31666667,33.7,17.31666667,89.63333333,29.45,10.8,132.2,31.36,256.05,357.0,강화군
강화,9,47.425,20.85,29.83333333,10.56666667,80.35,24.78333333,9.866666667,153.1833333,41.05166667,164.7666667,302.1,강화군
강화,10,47.425,13.7,25.05,1.75,30.23333333,11.05,5.35,178.35,51.22,65.73333333,179.4,강화군
강화,11,47.425,6.85,20.63333333,-6.3,31.53333333,0.0,0.0,140.5,46.03333333,69.43333333,55.1,강화군
강화,12,47.425,-1.05,11.93333333,-14.58333333,8.783333333,0.0,0.0,133.45,47.19333333,25.55,82.0,강화군
거제,1,44.83,3.333333333,15.03333333,-6.483333333,39.05,0.0,0.0,143.1333333,45.61333333,57.26666667,147.4,거제시
거제,2,44.83,5.3,16.23333333,-4.683333333,33.48333333,0.0,0.0,150.6666667,48.875,53.73333333,76.9,거제시
거제,3,44.83,10.4,22.21666667,0.0,60.21666667,0.0,0.0,177.8666667,47.90166667,138.4,201.9,거제시
