종류,명칭,주소,위도,경도,시도구분,시도시군구,법정동코드,전화번호
유통센터,하동군산지유통센터,경상남도 하동군 횡천면 경서대로 1251,35.11009,127.822313,경상남도,하동군,4885000000,
유통센터,옥종산지유통센터,경상남도 하동군 옥종면 옥종중앙길 60-1,35.1806977,127.8798605,경상남도,하동군,4885000000,
유통센터,익산푸드통합지원센터(APC),전라북도 익산시 익산대로 78길 127-60,36.033901,126.9562914,전라북도,익산시,4514000000,063-861-9710
유통센터,군산원예농협,전라북도 군산시 하포로 29,35.9567612,126.724071,전라북도,군산시,4513000000,063-468-2004
유통센터,세도농협 농산물유통센터,충청남도 부여군 세도면 세도로 7,36.1698823,126.9453719,충청남도,부여군,4476000000,041-745-3806
유통센터,구룡농협 농산물유통센터,충청남도 부여군 구룡면 흥수로 160,36.2442796,126.8061611,충청남도,부여군,4476000000,041-832-7977
유통센터,한국머쉬그린조공법인 농산물유통센터,충청남도 부여군 석성면 종북로 48-33,36.245097,126.998104,충청남도,부여군,4476000000,041-836-6282
유통센터,부여군산림조합 임산물유통센터,충청남도 부여군 구룡면 성충로 1407,36.2496149,126.8056571,충청남도,부여군,4476000000,
유통센터,㈜ 삼흥농업회사법인 농산물유통센터,충청남도 부여군 세도면 부흥로 1089,36.1594646,126.9954123,충청남도,부여군,4476000000,
유통센터,충남밤영농조합법인 산지유통시설,충청남도 부여군 외산면 외산로79번길 15-11,36.3009968,126.7015788,충청남도,부여군,4476000000,
유통센터,농업회사법인 우듬지팜㈜,충청남도 부여군 규암면 흥수로 698,36.2657452,126.8593305,충청남도,부여군,4476000000,
유통센터,규암농협 밤유통센터,충청남도 부여군 은산면 충절로 2851,36.311496,126.8492842,충청남도,부여군,4476000000,
유통센터,쎄븐팜영농조합법인 산지유통센터,충청남도 부여군 규암면 동궁로 136,36.3176484,126.9114771,충청남도,부여군,4476000000,041-834-0701
유통센터,다빈영농조합법인 산지유통센터,충청남도 부여군 석성면 석성북로 81,36.230482,126.9920127,충청남도,부여군,4476000000,041-833-7405
유통센터,옥알밤영농조합법인 산지유통센터,충청남도 부여군 은산면 매화로146번길 107-23,36.3491977,126.8488228,충청남도,부여군,4476000000,
유통센터,소부리영농조합법인 산지유통센터,충청남도 부여군 초촌면 신암로 128-8,36.2783594,126.9811132,충청남도,부여군,4476000000,
유통센터,부여중앙버섯영농조합법인 산지유통센터,충청남도 부여군 부여읍 삼충로 262,36.30576,126.9583496,충청남도,부여군,4476000000,041-835-3940
